Data,Vendas,Temperatura
2024-01-01,35,28
2024-01-02,42,30
2024-01-03,38,29
2024-01-04,50,31
2024-01-05,47,32
2024-01-06,55,33
2024-01-07,60,34
2024-01-08,58,33
2024-01-09,62,35
2024-01-10,65,36
2024-01-11,70,37
2024-01-12,68,36
2024-01-13,72,38
2024-01-14,75,39
2024-01-15,80,40
2024-01-16,78,39
2024-01-17,82,41
2024-01-18,85,42
2024-01-19,88,43
2024-01-20,90,44
2024-01-21,87,43
2024-01-22,92,45
2024-01-23,95,46
2024-01-24,98,47
2024-01-25,100,48
2024-01-26,97,47
2024-01-27,102,49
2024-01-28,105,50
2024-01-29,110,51
2024-01-30,108,50
2024-01-31,112,52
2024-02-01,115,53
2024-02-02,118,54
2024-02-03,120,55
2024-02-04,122,56
2024-02-05,125,57
2024-02-06,130,58
2024-02-07,128,57
2024-02-08,132,59
2024-02-09,135,60
2024-02-10,138,61
2024-02-11,140,62
2024-02-12,142,63
2024-02-13,145,64
2024-02-14,148,65
2024-02-15,150,66
2024-02-16,152,67
2024-02-17,155,68
2024-02-18,158,69
2024-02-19,160,70
2024-02-20,158,69
2024-02-21,162,71
2024-02-22,165,72
2024-02-23,168,73
2024-02-24,170,74
2024-02-25,172,75
2024-02-26,175,76
2024-02-27,178,77
2024-02-28,180,78
2024-02-29,182,79
2024-03-01,185,80
2024-03-02,188,81
2024-03-03,190,82
2024-03-04,192,83
2024-03-05,195,84
2024-03-06,198,85
2024-03-07,200,86
2024-03-08,202,87
2024-03-09,205,88
2024-03-10,208,89
2024-03-11,210,90
2024-03-12,212,91
2024-03-13,215,92
2024-03-14,218,93
2024-03-15,220,94
2024-03-16,222,95
2024-03-17,225,96
2024-03-18,228,97
2024-03-19,230,98
2024-03-20,232,99
2024-03-21,235,100
2024-03-22,238,101
2024-03-23,240,102
2024-03-24,242,103
2024-03-25,245,104
2024-03-26,248,105
2024-03-27,250,106
2024-03-28,252,107
2024-03-29,255,108
2024-03-30,258,109
2024-03-31,260,110
2024-04-01,262,111
2024-04-02,265,112
2024-04-03,268,113
2024-04-04,270,114
2024-04-05,272,115
2024-04-06,275,116
2024-04-07,278,117
2024-04-08,280,118
2024-04-09,282,119
